category,cluster_id,cluster_size,avg_pairwise_distance,total_clusters
Outdoors,0,26,4.685399719077227,5
Outdoors,1,12,4.319543706494696,5
Outdoors,2,15,3.99255667322589,5
Outdoors,3,39,5.708006695297237,5
Outdoors,4,16,5.276437469709193,5
Neutral,0,18,3.5509792810281073,5
Neutral,1,25,9.316534410321202,5
Neutral,2,27,3.895967691686514,5
Neutral,3,21,6.3022228202115285,5
Neutral,4,17,4.151414243052968,5
Indoors/Household,0,24,4.64713724415266,5
Indoors/Household,1,22,7.017219860663259,5
Indoors/Household,2,47,4.259451500865825,5
Indoors/Household,3,6,4.102688795396054,5
Indoors/Household,4,9,5.125350327503286,5
